Date,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Winner,home_team_rank,home_team_points,home_team_previous_points,away_team_rank,away_team_points,away_team_previous_points,Home Team Champion,Away Team Champion
1938-06-09,Switzerland,4.0,2.0,Germany,1,15,1635.92,1621.43,11.0,1650.21,1658.96,0.0,4.0
1938-06-12,Brazil,1.0,1.0,Czechoslovakia,0,1,1841.3,1837.56,64.0,24.0,24.0,5.0,0.0
1938-06-12,Brazil,1.0,1.0,Czechoslovakia,0,1,1841.3,1837.56,64.0,24.0,24.0,5.0,0.0
1938-06-12,Hungary,2.0,0.0,Switzerland,1,36,1492.2,1486.76,15.0,1635.92,1621.43,0.0,0.0
1938-06-12,Sweden,8.0,0.0,Cuba,1,25,1553.33,1563.44,167.0,978.65,978.65,0.0,0.0
1938-06-12,Italy,3.0,1.0,France,1,6,1726.14,1713.86,4.0,1759.78,1764.85,4.0,1.0
1938-06-14,Brazil,2.0,1.0,Czechoslovakia,1,1,1841.3,1837.56,64.0,24.0,24.0,5.0,0.0
1938-06-14,Brazil,2.0,1.0,Czechoslovakia,1,1,1841.3,1837.56,64.0,24.0,24.0,5.0,0.0
1938-06-16,Hungary,5.0,1.0,Sweden,1,36,1492.2,1486.76,25.0,1553.33,1563.44,0.0,0.0
1938-06-16,Italy,2.0,1.0,Brazil,1,6,1726.14,1713.86,1.0,1841.3,1837.56,4.0,5.0
1938-06-19,Brazil,4.0,2.0,Sweden,1,1,1841.3,1837.56,25.0,1553.33,1563.44,5.0,0.0
1938-06-19,Italy,4.0,2.0,Hungary,1,6,1726.14,1713.86,36.0,1492.2,1486.76,4.0,0.0
1950-06-24,Brazil,4.0,0.0,Mexico,1,1,1841.3,1837.56,13.0,1644.89,1649.57,5.0,0.0
1950-06-25,England,2.0,0.0,Chile,1,5,1728.47,1737.46,29.0,1509.61,1514.86,1.0,0.0
1950-06-25,Spain,3.0,1.0,USA,1,7,1715.22,1716.93,16.0,1627.48,1635.01,1.0,0.0
1950-06-25,Sweden,3.0,2.0,Italy,1,25,1553.33,1563.44,6.0,1726.14,1713.86,0.0,4.0
1950-06-25,Yugoslavia,3.0,0.0,Switzerland,1,6,64.0,64.0,15.0,1635.92,1621.43,0.0,0.0
1950-06-25,Yugoslavia,3.0,0.0,Switzerland,1,6,64.0,64.0,15.0,1635.92,1621.43,0.0,0.0
1950-06-28,Brazil,2.0,2.0,Switzerland,0,1,1841.3,1837.56,15.0,1635.92,1621.43,5.0,0.0
1950-06-28,Yugoslavia,4.0,1.0,Mexico,1,6,64.0,64.0,13.0,1644.89,1649.57,0.0,0.0
1950-06-28,Yugoslavia,4.0,1.0,Mexico,1,6,64.0,64.0,13.0,1644.89,1649.57,0.0,0.0
1950-06-29,Spain,2.0,0.0,Chile,1,7,1715.22,1716.93,29.0,1509.61,1514.86,1.0,0.0
1950-06-29,Sweden,2.0,2.0,Paraguay,0,25,1553.33,1563.44,47.0,1448.77,1440.13,0.0,0.0
1950-06-29,USA,1.0,0.0,England,1,16,1627.48,1635.01,5.0,1728.47,1737.46,0.0,1.0
1950-07-01,Brazil,2.0,0.0,Yugoslavia,1,1,1841.3,1837.56,6.0,64.0,64.0,5.0,0.0
1950-07-01,Brazil,2.0,0.0,Yugoslavia,1,1,1841.3,1837.56,6.0,64.0,64.0,5.0,0.0
1950-07-02,Spain,1.0,0.0,England,1,7,1715.22,1716.93,5.0,1728.47,1737.46,1.0,1.0
1950-07-02,Italy,2.0,0.0,Paraguay,1,6,1726.14,1713.86,47.0,1448.77,1440.13,4.0,0.0
1950-07-02,Uruguay,8.0,0.0,Bolivia,1,14,1638.71,1640.95,82.0,1296.28,1298.81,2.0,0.0
1950-07-02,Switzerland,2.0,1.0,Mexico,1,15,1635.92,1621.43,13.0,1644.89,1649.57,0.0,0.0
1950-07-02,Chile,5.0,2.0,USA,1,29,1509.61,1514.86,16.0,1627.48,1635.01,0.0,0.0
1950-07-09,Uruguay,2.0,2.0,Spain,0,14,1638.71,1640.95,7.0,1715.22,1716.93,2.0,1.0
1950-07-09,Brazil,7.0,1.0,Sweden,1,1,1841.3,1837.56,25.0,1553.33,1563.44,5.0,0.0
1950-07-13,Brazil,6.0,1.0,Spain,1,1,1841.3,1837.56,7.0,1715.22,1716.93,5.0,1.0
1950-07-13,Uruguay,3.0,2.0,Sweden,1,14,1638.71,1640.95,25.0,1553.33,1563.44,2.0,0.0
1950-07-16,Sweden,3.0,1.0,Spain,1,25,1553.33,1563.44,7.0,1715.22,1716.93,0.0,1.0
1950-07-16,Uruguay,2.0,1.0,Brazil,1,14,1638.71,1640.95,1.0,1841.3,1837.56,2.0,5.0
1954-06-16,Uruguay,2.0,0.0,Czechoslovakia,1,14,1638.71,1640.95,64.0,24.0,24.0,2.0,0.0
1954-06-16,Uruguay,2.0,0.0,Czechoslovakia,1,14,1638.71,1640.95,64.0,24.0,24.0,2.0,0.0
1954-06-16,Austria,1.0,0.0,Scotland,1,34,1492.95,1502.47,40.0,1479.53,1462.96,0.0,0.0
1954-06-16,Brazil,5.0,0.0,Mexico,1,1,1841.3,1837.56,13.0,1644.89,1649.57,5.0,0.0
1954-06-16,Yugoslavia,1.0,0.0,France,1,6,64.0,64.0,4.0,1759.78,1764.85,0.0,1.0
1954-06-16,Yugoslavia,1.0,0.0,France,1,6,64.0,64.0,4.0,1759.78,1764.85,0.0,1.0
1954-06-17,Germany,4.0,1.0,Turkey,1,11,1650.21,1658.96,45.0,1460.14,1475.13,4.0,0.0
1954-06-17,Hungary,9.0,0.0,Korea Republic,1,36,1492.2,1486.76,28.0,1530.3,1526.02,0.0,0.0
1954-06-17,England,4.0,4.0,Belgium,0,5,1728.47,1737.46,2.0,1816.71,1821.92,1.0,0.0
1954-06-17,Switzerland,2.0,1.0,Italy,1,15,1635.92,1621.43,6.0,1726.14,1713.86,0.0,4.0
1954-06-19,Uruguay,7.0,0.0,Scotland,1,14,1638.71,1640.95,40.0,1479.53,1462.96,2.0,0.0
